module,live_composer_version,local_composer_version,versions_match
magento/module-rss,100.4.2,100.4.2,True
magento/module-rule,100.4.2,100.4.2,True
magento/module-sales,103.0.3-p3,103.0.3-p3,True
magento/module-sales-analytics,100.4.1,100.4.1,True
magento/module-sales-graph-ql,100.4.3,100.4.3,True
magento/module-sales-inventory,100.4.0,100.4.0,True
magento/module-sales-rule,101.2.3,101.2.3,True
magento/module-sales-sequence,100.4.1,100.4.1,True
magento/module-sample-data,100.4.1,100.4.1,True
magento/module-search,101.1.3,101.1.3,True
magento/module-security,100.4.3-p1,100.4.3-p1,True
magento/module-securitytxt,1.1.0,1.1.0,True
magento/module-send-friend,100.4.2,100.4.2,True
magento/module-send-friend-graph-ql,100.4.0,100.4.0,True
magento/module-shipping,100.4.3,100.4.3,True
magento/module-sitemap,100.4.2,100.4.2,True
magento/module-store,101.1.3-p3,101.1.3-p3,True
magento/module-store-graph-ql,100.4.2,100.4.2,True
magento/module-swagger,100.4.2-p2,100.4.2-p2,True
magento/module-swagger-webapi,100.4.0,100.4.0,True
magento/module-swagger-webapi-async,100.4.0,100.4.0,True
magento/module-swatches,100.4.3,100.4.3,True
magento/module-swatches-graph-ql,100.4.2,100.4.2,True
magento/module-swatches-layered-navigation,100.4.0,100.4.0,True
magento/module-tax,100.4.3,100.4.3,True
magento/module-tax-graph-ql,100.4.0,100.4.0,True
magento/module-tax-import-export,100.4.3,100.4.3,True
magento/module-theme,101.1.3-p2,101.1.3-p2,True
magento/module-theme-graph-ql,100.4.1,100.4.1,True
magento/module-translation,100.4.3,100.4.3,True
magento/module-two-factor-auth,1.1.2,1.1.2,True
magento/module-ui,101.2.3-p2,101.2.3-p2,True
magento/module-ups,100.4.3,100.4.3,True
