2tvenom/cborencode                                                1.0.2      CBOR encoder for PHP
magento/module-admin-analytics                                    100.4.3-p1 N/A
magento/module-admin-notification                                 100.4.2    N/A
magento/module-adobe-ims                                          2.1.2      Magento module responsible for authentication to Adobe services
magento/module-adobe-ims-api                                      2.1.0      Implementation of Magento module responsible for authentication to Adobe services
magento/module-adobe-stock-admin-ui                               1.3.0-p2   Magento module responsible for the admin panel UI implementation
magento/module-adobe-stock-asset                                  1.3.0-p2   Magento module responsible for the Adobe Stock assets handling implementation on Magento side
magento/module-adobe-stock-asset-api                              2.0.0-p2   Magento module responsible for Adobe Stock assets handling on Magento side
magento/module-adobe-stock-client                                 1.3.1-p2   Magento module responsible for interaction with Adobe Stock API implementation
magento/module-adobe-stock-client-api                             2.1.0-p2   Magento module responsible for interaction with Adobe Stock API
magento/module-adobe-stock-image                                  1.3.1-p2   Magento module responsible for the images handling implementation
magento/module-adobe-stock-image-admin-ui                         1.3.1-p2   Magento module responsible for the admin panel images UI implementation
magento/module-adobe-stock-image-api                              1.3.0-p2   Magento module responsible for the images handling
magento/module-advanced-pricing-import-export                     100.4.3    N/A
magento/module-advanced-search                                    100.4.1    N/A
magento/module-amqp                                               100.4.1    N/A
magento/module-amqp-store                                         100.4.1    N/A
magento/module-analytics                                          100.4.3    N/A
magento/module-asynchronous-operations                            100.4.3    N/A
magento/module-authorization                                      100.4.3    Authorization module provides access to Magento ACL functionality.
magento/module-aws-s3                                             100.4.1-p1 N/A
magento/module-aws-s3-page-builder                                1.0.1-p3   Aws S3 Page Builder module
magento/module-backend                                            102.0.3    N/A
magento/module-backup                                             100.4.3    N/A
magento/module-bundle                                             101.0.3    N/A
magento/module-bundle-graph-ql                                    100.4.3    N/A
magento/module-bundle-import-export                               100.4.2    N/A
magento/module-cache-invalidate                                   100.4.1    N/A
magento/module-captcha                                            100.4.3-p1 N/A
magento/module-cardinal-commerce                                  100.4.1    Provides a possibility to enable 3-D Secure 2.0 support for payment methods.
magento/module-catalog                                            104.0.3-p3 N/A
magento/module-catalog-analytics                                  100.4.1    N/A
magento/module-catalog-cms-graph-ql                               100.4.0    N/A
magento/module-catalog-customer-graph-ql                          100.4.3    N/A
magento/module-catalog-graph-ql                                   100.4.3    N/A
magento/module-catalog-import-export                              101.1.3    N/A
magento/module-catalog-inventory                                  100.4.3    N/A
magento/module-catalog-inventory-graph-ql                         100.4.0    N/A
magento/module-catalog-page-builder-analytics                     1.6.1-p3   Catalog Page Builder Analytics module
magento/module-catalog-rule                                       101.2.3    N/A
magento/module-catalog-rule-configurable                          100.4.2    N/A
magento/module-catalog-rule-graph-ql                              100.4.1    N/A
magento/module-catalog-search                                     102.0.3    Catalog search
magento/module-catalog-url-rewrite                                100.4.3    N/A
magento/module-catalog-url-rewrite-graph-ql                       100.4.2    N/A
magento/module-catalog-widget                                     100.4.3    N/A
magento/module-checkout                                           100.4.3-p3 N/A
magento/module-checkout-agreements                                100.4.2    N/A
magento/module-checkout-agreements-graph-ql                       100.4.0    N/A
magento/module-cms                                                104.0.3-p1 N/A
magento/module-cms-graph-ql                                       100.4.1    N/A
magento/module-cms-page-builder-analytics                         1.6.1-p3   CMS Page Builder Analytics module
magento/module-cms-url-rewrite                                    100.4.2    N/A
magento/module-cms-url-rewrite-graph-ql                           100.4.1    N/A
magento/module-compare-list-graph-ql                              100.4.0    N/A
magento/module-config                                             101.2.3    N/A
magento/module-configurable-import-export                         100.4.1    N/A
magento/module-configurable-product                               100.4.3    N/A
magento/module-configurable-product-graph-ql                      100.4.3    N/A
magento/module-configurable-product-sales                         100.4.1    N/A
magento/module-contact                                            100.4.3-p2 N/A
magento/module-cookie                                             100.4.3    N/A
magento/module-cron                                               100.4.3    N/A
magento/module-csp                                                100.4.2-p1 CSP module enables Content Security Policies for Magento
magento/module-currency-symbol                                    100.4.2    N/A
magento/module-customer                                           103.0.3-p3 N/A
magento/module-customer-analytics                                 100.4.1    N/A
magento/module-customer-downloadable-graph-ql                     100.4.0    N/A
magento/module-customer-graph-ql                                  100.4.3    N/A
magento/module-customer-import-export                             100.4.3    N/A
magento/module-deploy                                             100.4.3    N/A
magento/module-developer                                          100.4.3    N/A
magento/module-dhl                                                100.4.2    N/A
magento/module-directory                                          100.4.3    N/A
magento/module-directory-graph-ql                                 100.4.1    N/A
magento/module-downloadable                                       100.4.3    N/A
magento/module-downloadable-graph-ql                              100.4.3    N/A
magento/module-downloadable-import-export                         100.4.2    N/A
magento/module-eav                                                102.1.3    N/A
magento/module-eav-graph-ql                                       100.4.1    N/A
magento/module-elasticsearch                                      101.0.3    N/A
magento/module-elasticsearch-6                                    100.4.3    N/A
magento/module-elasticsearch-7                                    100.4.3    N/A
magento/module-email                                              101.1.3-p2 N/A
magento/module-encryption-key                                     100.4.2    N/A
magento/module-fedex                                              100.4.2    N/A
magento/module-gift-message                                       100.4.2    N/A
magento/module-gift-message-graph-ql                              100.4.1    N/A
magento/module-google-adwords                                     100.4.1    N/A
magento/module-google-analytics                                   100.4.0    N/A
magento/module-google-optimizer                                   100.4.2    N/A
magento/module-graph-ql                                           100.4.3-p2 N/A
magento/module-graph-ql-cache                                     100.4.0    N/A
magento/module-grouped-catalog-inventory                          100.4.0    N/A
magento/module-grouped-import-export                              100.4.1    N/A
magento/module-grouped-product                                    100.4.3    N/A
magento/module-grouped-product-graph-ql                           100.4.3    N/A
magento/module-import-export                                      101.0.3    N/A
magento/module-indexer                                            100.4.3    N/A
magento/module-instant-purchase                                   100.4.2    N/A
magento/module-integration                                        100.4.3-p2 N/A
magento/module-inventory                                          1.2.1-p2   N/A
magento/module-inventory-admin-ui                                 1.2.1-p2   N/A
magento/module-inventory-advanced-checkout                        1.2.0-p2   N/A
magento/module-inventory-api                                      1.2.1-p2   N/A
magento/module-inventory-bundle-import-export                     1.1.0-p2   N/A
magento/module-inventory-bundle-product                           1.2.0-p2   N/A
magento/module-inventory-bundle-product-admin-ui                  1.2.1-p2   N/A
magento/module-inventory-bundle-product-indexer                   1.1.0-p2   N/A
magento/module-inventory-cache                                    1.2.1-p2   N/A
magento/module-inventory-catalog                                  1.2.1-p2   N/A
magento/module-inventory-catalog-admin-ui                         1.2.1-p2   N/A
magento/module-inventory-catalog-api                              1.3.1-p2   N/A
magento/module-inventory-catalog-frontend-ui                      1.0.1-p2   N/A
magento/module-inventory-catalog-search                           1.2.1-p2   N/A
magento/module-inventory-catalog-search-bundle-product            1.0.0-p2   N/A
magento/module-inventory-catalog-search-configurable-product      1.0.0-p2   N/A
magento/module-inventory-configurable-product                     1.2.1-p2   N/A
magento/module-inventory-configurable-product-admin-ui            1.2.1-p2   N/A
magento/module-inventory-configurable-product-frontend-ui         1.0.1-p2   N/A
magento/module-inventory-configurable-product-indexer             1.2.1-p2   N/A
magento/module-inventory-configuration                            1.2.1-p2   N/A
magento/module-inventory-configuration-api                        1.2.0-p2   N/A
magento/module-inventory-distance-based-source-selection          1.2.1-p2   N/A
magento/module-inventory-distance-based-source-selection-admin-ui 1.2.0-p2   N/A
magento/module-inventory-distance-based-source-selection-api      1.2.0-p2   N/A
magento/module-inventory-elasticsearch                            1.2.0-p2   N/A
magento/module-inventory-export-stock                             1.2.0-p2   N/A
magento/module-inventory-export-stock-api                         1.2.0-p2   N/A
magento/module-inventory-graph-ql                                 1.2.0-p2   N/A
magento/module-inventory-grouped-product                          1.2.1-p2   N/A
magento/module-inventory-grouped-product-admin-ui                 1.2.1-p2   N/A
magento/module-inventory-grouped-product-indexer                  1.2.1-p2   N/A
magento/module-inventory-import-export                            1.2.1-p2   N/A
magento/module-inventory-in-store-pickup                          1.1.0-p2   N/A
magento/module-inventory-in-store-pickup-admin-ui                 1.1.0-p2   N/A
magento/module-inventory-in-store-pickup-api                      1.1.0-p2   N/A
magento/module-inventory-in-store-pickup-frontend                 1.1.1-p2   N/A
magento/module-inventory-in-store-pickup-graph-ql                 1.1.0-p2   N/A
magento/module-inventory-in-store-pickup-multishipping            1.1.0-p2   N/A
magento/module-inventory-in-store-pickup-quote                    1.1.0-p2   N/A
magento/module-inventory-in-store-pickup-quote-graph-ql           1.1.0-p2   N/A
magento/module-inventory-in-store-pickup-sales                    1.1.0-p2   N/A
magento/module-inventory-in-store-pickup-sales-admin-ui           1.1.1-p2   N/A
magento/module-inventory-in-store-pickup-sales-api                1.1.0-p2   N/A
magento/module-inventory-in-store-pickup-shipping                 1.1.0-p2   N/A
magento/module-inventory-in-store-pickup-shipping-admin-ui        1.1.0-p2   N/A
magento/module-inventory-in-store-pickup-shipping-api             1.1.0-p2   N/A
magento/module-inventory-in-store-pickup-webapi-extension         1.1.0-p2   N/A
magento/module-inventory-indexer                                  2.1.1-p2   N/A
magento/module-inventory-low-quantity-notification                1.2.0-p2   N/A
magento/module-inventory-low-quantity-notification-admin-ui       1.2.1-p2   N/A
magento/module-inventory-low-quantity-notification-api            1.2.0-p2   N/A
magento/module-inventory-multi-dimensional-indexer-api            1.2.0-p2   N/A
magento/module-inventory-product-alert                            1.2.1-p2   N/A
magento/module-inventory-quote-graph-ql                           1.0.0-p2   N/A
magento/module-inventory-requisition-list                         1.2.1-p2   N/A
magento/module-inventory-reservation-cli                          1.2.1-p2   N/A
magento/module-inventory-reservations                             1.2.0-p2   N/A
magento/module-inventory-reservations-api                         1.2.0-p2   N/A
magento/module-inventory-sales                                    1.2.1-p2   N/A
magento/module-inventory-sales-admin-ui                           1.2.1-p2   N/A
magento/module-inventory-sales-api                                1.2.0-p2   N/A
magento/module-inventory-sales-frontend-ui                        1.2.1-p2   N/A
magento/module-inventory-setup-fixture-generator                  1.2.0-p2   N/A
magento/module-inventory-shipping                                 1.2.1-p2   N/A
magento/module-inventory-shipping-admin-ui                        1.2.1-p2   N/A
magento/module-inventory-source-deduction-api                     1.2.1-p2   N/A
magento/module-inventory-source-selection                         1.2.0-p2   N/A
magento/module-inventory-source-selection-api                     1.4.0-p2   N/A
magento/module-inventory-swatches-frontend-ui                     1.0.0-p2   N/A
magento/module-inventory-visual-merchandiser                      1.1.1-p2   N/A
magento/module-inventory-wishlist                                 1.0.0-p2   N/A
magento/module-jwt-framework-adapter                              100.4.0    JWT Manager implementation based on jwt-framework
magento/module-layered-navigation                                 100.4.3    N/A
magento/module-login-as-customer                                  100.4.3    Allow for admin to enter a customer account
magento/module-login-as-customer-admin-ui                         100.4.3-p1
magento/module-login-as-customer-api                              100.4.2    Allow for admin to enter a customer account
magento/module-login-as-customer-assistance                       100.4.2-p1
magento/module-login-as-customer-frontend-ui                      100.4.3-p1
magento/module-login-as-customer-graph-ql                         100.4.0    Flexible login as a customer so a merchant or merchant admin can log into an end customer's account to assi...
magento/module-login-as-customer-log                              100.4.2-p1
magento/module-login-as-customer-page-cache                       100.4.3-p1
magento/module-login-as-customer-quote                            100.4.2-p1
magento/module-login-as-customer-sales                            100.4.3-p1
magento/module-marketplace                                        100.4.2    N/A
magento/module-media-content                                      100.4.2    Magento module provides the implementation for managing relations between content and media files used in t...
magento/module-media-content-api                                  100.4.2    Magento module provides the API interfaces for managing relations between content and media files used in t...
magento/module-media-content-catalog                              100.4.2    Magento module provides the implementation of MediaContent functionality for Magento_Catalog module
magento/module-media-content-cms                                  100.4.2    Magento module provides the implementation of MediaContent functionality for Magento_Cms module
magento/module-media-content-synchronization                      100.4.2    Magento module provides implementation of the media content data synchronization.
magento/module-media-content-synchronization-api                  100.4.1    Magento module responsible for the media content synchronization implementation API
magento/module-media-content-synchronization-catalog              100.4.1    Magento module provides the implementation of MediaContentSynchronization functionality for Magento_Catalog...
magento/module-media-content-synchronization-cms                  100.4.1    Magento module provides the implementation of MediaContentSynchronization functionality for Magento_Cms module
magento/module-media-gallery                                      100.4.2-p1 Magento module responsible for media handling
magento/module-media-gallery-api                                  101.0.2    Magento module responsible for media gallery asset attributes storage and management
magento/module-media-gallery-catalog                              100.4.1    Magento module responsible for catalog gallery processor delete operation handling
magento/module-media-gallery-catalog-integration                  100.4.1-p1 Magento module responsible for extending catalog image uploader functionality
magento/module-media-gallery-catalog-ui                           100.4.1-p1 Magento module that implement category grid for media gallery.
magento/module-media-gallery-cms-ui                               100.4.1-p1 Cms related UI elements in the magento media gallery
magento/module-media-gallery-integration                          100.4.2    Magento module responsible for integration of enhanced media gallery
magento/module-media-gallery-metadata                             100.4.1    Magento module responsible for images metadata processing
magento/module-media-gallery-metadata-api                         100.4.0    Magento module responsible for media gallery metadata implementation API
magento/module-media-gallery-renditions                           100.4.1-p1 Magento module that implements height and width fields for for media gallery items.
magento/module-media-gallery-renditions-api                       100.4.0    Magento module that is responsible for the API implementation of Media Gallery Renditions.
magento/module-media-gallery-synchronization                      100.4.2    Magento module provides implementation of the media gallery data synchronization.
magento/module-media-gallery-synchronization-api                  100.4.1    Magento module responsible for the media gallery synchronization implementation API
magento/module-media-gallery-synchronization-metadata             100.4.0    Magento module responsible for images metadata synchronization
magento/module-media-gallery-ui                                   100.4.2-p1 Magento module responsible for the media gallery UI implementation
magento/module-media-gallery-ui-api                               100.4.1    Magento module responsible for the media gallery UI implementation API
magento/module-media-storage                                      100.4.2-p1 N/A
magento/module-message-queue                                      100.4.3    N/A
magento/module-msrp                                               100.4.2    N/A
magento/module-msrp-configurable-product                          100.4.1    N/A
magento/module-msrp-grouped-product                               100.4.1    N/A
magento/module-multishipping                                      100.4.3    N/A
magento/module-mysql-mq                                           100.4.1    N/A
magento/module-new-relic-reporting                                100.4.1    N/A
magento/module-newsletter                                         100.4.3-p2 N/A
magento/module-newsletter-graph-ql                                100.4.0    Provides GraphQl functionality for the newsletter subscriptions.
magento/module-offline-payments                                   100.4.2    N/A
magento/module-offline-shipping                                   100.4.2    N/A
magento/module-page-builder                                       2.2.1-p3   Page Builder module
magento/module-page-builder-admin-analytics                       1.1.1-p3   Page Builder Admin Analytics module
magento/module-page-builder-analytics                             1.6.1-p3   Page Builder Analytics module
magento/module-page-cache                                         100.4.3    N/A
magento/module-payment                                            100.4.3    N/A
magento/module-paypal                                             101.0.3-p1 N/A
magento/module-paypal-captcha                                     100.4.1    Provides CAPTCHA validation for PayPal Payflow Pro
magento/module-paypal-graph-ql                                    100.4.1    GraphQl support for Paypal
