module,composer_version
monolog/monolog,1.27.1
mtdowling/jmespath.php,2.6.1
mustache/mustache,v2.14.2
myclabs/deep-copy,1.11.1
myclabs/php-enum,1.8.4
nikic/php-parser,v4.4.0
paragonie/constant_time_encoding,v2.6.3
paragonie/random_compat,v9.99.100
paragonie/sodium_compat,v1.19.0
paypal/module-braintree,4.2.5
paypal/module-braintree-core,4.2.5
paypal/module-braintree-graph-ql,4.1.3
pdepend/pdepend,2.7.1
pelago/emogrifier,v5.0.1
phar-io/manifest,1.0.3
phar-io/version,2.0.1
php-amqplib/php-amqplib,v2.10.1
php-cs-fixer/diff,v1.3.1
php-webdriver/webdriver,1.8.2
phpcompatibility/php-compatibility,9.3.5
phpdocumentor/reflection-common,2.2.0
phpdocumentor/reflection-docblock,5.3.0
phpdocumentor/type-resolver,1.6.2
phpgt/cssxpath,v1.1.4
phpgt/dom,v2.1.6
phpmd/phpmd,2.9.1
phpseclib/mcrypt_compat,1.0.8
phpseclib/phpseclib,2.0.42
phpspec/prophecy,v1.17.0
phpstan/phpdoc-parser,1.16.1
phpstan/phpstan,0.12.100
phpunit/php-code-coverage,8.0.2
phpunit/php-file-iterator,3.0.6
phpunit/php-invoker,3.1.1
phpunit/php-text-template,2.0.4
phpunit/php-timer,5.0.3
phpunit/php-token-stream,4.0.4
phpunit/phpunit,9.2.6
psr/cache,1.0.1
psr/container,1.1.2
psr/event-dispatcher,1.0.0
psr/http-client,1.0.2
psr/http-factory,1.0.2
psr/http-message,1.1
psr/log,1.1.4
ralouphie/getallheaders,3.0.3
ramsey/collection,1.3.0
ramsey/uuid,4.1.3
react/promise,v2.9.0
sebastian/cli-parser,1.0.1
sebastian/code-unit,1.0.8
sebastian/code-unit-reverse-lookup,2.0.3
sebastian/comparator,4.0.8
sebastian/diff,4.0.4
sebastian/environment,5.1.5
sebastian/exporter,4.0.5
sebastian/global-state,4.0.0
sebastian/object-enumerator,4.0.4
sebastian/object-reflector,2.0.4
sebastian/phpcpd,6.0.3
sebastian/recursion-context,4.0.5
sebastian/resource-operations,3.0.3
sebastian/type,2.3.4
sebastian/version,3.0.2
seld/jsonlint,1.10.0
seld/phar-utils,1.2.1
spomky-labs/aes-key-wrap,v6.0.0
spomky-labs/base64url,v2.0.4
spomky-labs/otphp,v10.0.3
squizlabs/php_codesniffer,3.5.8
symfony/config,v5.4.21
symfony/console,v4.4.49
symfony/css-selector,v5.4.21
symfony/debug,v4.4.44
symfony/dependency-injection,v5.4.23
symfony/deprecation-contracts,v2.5.2
symfony/error-handler,v4.4.44
symfony/event-dispatcher,v4.4.44
symfony/event-dispatcher-contracts,v1.1.13
symfony/filesystem,v5.4.23
symfony/finder,v5.4.21
symfony/http-client-contracts,v2.5.2
symfony/http-foundation,v5.4.23
symfony/http-kernel,v4.4.50
symfony/mime,v5.4.21
symfony/options-resolver,v5.4.21
symfony/polyfill-ctype,v1.27.0
symfony/polyfill-intl-grapheme,v1.27.0
symfony/polyfill-intl-idn,v1.27.0
symfony/polyfill-intl-normalizer,v1.27.0
symfony/polyfill-mbstring,v1.27.0
symfony/polyfill-php70,v1.20.0
symfony/polyfill-php72,v1.27.0
symfony/polyfill-php73,v1.27.0
symfony/polyfill-php80,v1.27.0
symfony/polyfill-php81,v1.27.0
symfony/process,v4.4.44
symfony/property-access,v5.4.21
symfony/property-info,v5.4.21
symfony/service-contracts,v2.5.2
symfony/stopwatch,v5.4.21
symfony/string,v5.4.21
symfony/var-dumper,v5.4.23
symfony/yaml,v5.3.14
tedivm/jshrink,v1.4.0
temando/module-shipping,2.0.0
temando/module-shipping-remover,1.0.0
thecodingmachine/safe,v1.3.3
theseer/tokenizer,1.2.1
tubalmartin/cssmin,v4.1.1
ulmod/ordercomment,2.4.3
vertexinc/module-address-validation,2.1.3
vertexinc/module-address-validation-api,1.0.1
vertexinc/module-request-logging,1.0.0
vertexinc/module-request-logging-api,1.0.0
vertexinc/module-tax,4.2.2
vertexinc/product-magento-module,4.2.2
vertexinc/sdk,1.2.8
vlucas/phpdotenv,v2.6.9
web-token/jwt-framework,v2.2.11
webimpress/safe-writer,2.2.0
webmozart/assert,1.11.0
webonyx/graphql-php,v0.13.9
weew/helpers-array,v1.3.1
wikimedia/less.php,v3.2.1
yotpo/magento2-module-yotpo-reviews,3.2.0
yotpo/magento2-module-yotpo-reviews-bundle,3.2.0
zf1/zend-exception,1.12.20
zf1/zend-reflection,1.12.20
