2tvenom/cborencode                                                1.0.2      CBOR encoder for PHP
magento/module-catalog-rule-configurable                          100.4.2    N/A
magento/module-catalog-rule-graph-ql                              100.4.1    N/A
magento/module-catalog-search                                     102.0.3    Catalog search
magento/module-catalog-url-rewrite                                100.4.3    N/A
magento/module-catalog-url-rewrite-graph-ql                       100.4.2    N/A
magento/module-catalog-widget                                     100.4.3    N/A
magento/module-checkout                                           100.4.3-p3 N/A
magento/module-checkout-agreements                                100.4.2    N/A
magento/module-checkout-agreements-graph-ql                       100.4.0    N/A
magento/module-cms                                                104.0.3-p1 N/A
magento/module-cms-graph-ql                                       100.4.1    N/A
magento/module-cms-page-builder-analytics                         1.6.1-p3   CMS Page Builder Analytics module
magento/module-cms-url-rewrite                                    100.4.2    N/A
magento/module-cms-url-rewrite-graph-ql                           100.4.1    N/A
magento/module-compare-list-graph-ql                              100.4.0    N/A
magento/module-config                                             101.2.3    N/A
magento/module-configurable-import-export                         100.4.1    N/A
magento/module-configurable-product                               100.4.3    N/A
magento/module-configurable-product-graph-ql                      100.4.3    N/A
magento/module-configurable-product-sales                         100.4.1    N/A
magento/module-contact                                            100.4.3-p2 N/A
magento/module-cookie                                             100.4.3    N/A
magento/module-cron                                               100.4.3    N/A
magento/module-csp                                                100.4.2-p1 CSP module enables Content Security Policies for...
magento/module-currency-symbol                                    100.4.2    N/A
magento/module-customer                                           103.0.3-p3 N/A
magento/module-customer-analytics                                 100.4.1    N/A
magento/module-customer-downloadable-graph-ql                     100.4.0    N/A
magento/module-customer-graph-ql                                  100.4.3    N/A
magento/module-customer-import-export                             100.4.3    N/A
magento/module-deploy                                             100.4.3    N/A
magento/module-developer                                          100.4.3    N/A
magento/module-dhl                                                100.4.2    N/A
magento/module-directory                                          100.4.3    N/A
magento/module-directory-graph-ql                                 100.4.1    N/A
magento/module-downloadable                                       100.4.3    N/A
magento/module-downloadable-graph-ql                              100.4.3    N/A
magento/module-downloadable-import-export                         100.4.2    N/A
magento/module-eav                                                102.1.3    N/A
magento/module-eav-graph-ql                                       100.4.1    N/A
magento/module-elasticsearch                                      101.0.3    N/A
magento/module-elasticsearch-6                                    100.4.3    N/A
magento/module-elasticsearch-7                                    100.4.3    N/A
magento/module-email                                              101.1.3-p2 N/A
magento/module-encryption-key                                     100.4.2    N/A
magento/module-fedex                                              100.4.2    N/A
magento/module-gift-message                                       100.4.2    N/A
magento/module-gift-message-graph-ql                              100.4.1    N/A
magento/module-google-adwords                                     100.4.1    N/A
magento/module-google-analytics                                   100.4.0    N/A
magento/module-google-optimizer                                   100.4.2    N/A
magento/module-graph-ql                                           100.4.3-p2 N/A
magento/module-graph-ql-cache                                     100.4.0    N/A
magento/module-grouped-catalog-inventory                          100.4.0    N/A
magento/module-grouped-import-export                              100.4.1    N/A
magento/module-grouped-product                                    100.4.3    N/A
magento/module-grouped-product-graph-ql                           100.4.3    N/A
magento/module-import-export                                      101.0.3    N/A
magento/module-indexer                                            100.4.3    N/A
magento/module-instant-purchase                                   100.4.2    N/A
magento/module-integration                                        100.4.3-p2 N/A
magento/module-inventory                                          1.2.1-p2   N/A
magento/module-inventory-admin-ui                                 1.2.1-p2   N/A
magento/module-inventory-advanced-checkout                        1.2.0-p2   N/A
magento/module-inventory-api                                      1.2.1-p2   N/A
magento/module-inventory-bundle-import-export                     1.1.0-p2   N/A
magento/module-inventory-bundle-product                           1.2.0-p2   N/A
magento/module-inventory-bundle-product-admin-ui                  1.2.1-p2   N/A
magento/module-inventory-bundle-product-indexer                   1.1.0-p2   N/A
magento/module-inventory-cache                                    1.2.1-p2   N/A
magento/module-inventory-catalog                                  1.2.1-p2   N/A
magento/module-inventory-catalog-admin-ui                         1.2.1-p2   N/A
magento/module-inventory-catalog-api                              1.3.1-p2   N/A
magento/module-inventory-catalog-frontend-ui                      1.0.1-p2   N/A
magento/module-inventory-catalog-search                           1.2.1-p2   N/A
magento/module-inventory-catalog-search-bundle-product            1.0.0-p2   N/A
magento/module-inventory-catalog-search-configurable-product      1.0.0-p2   N/A
magento/module-inventory-configurable-product                     1.2.1-p2   N/A
magento/module-inventory-configurable-product-admin-ui            1.2.1-p2   N/A
magento/module-inventory-configurable-product-frontend-ui         1.0.1-p2   N/A
magento/module-inventory-configurable-product-indexer             1.2.1-p2   N/A
magento/module-inventory-configuration                            1.2.1-p2   N/A
magento/module-inventory-configuration-api                        1.2.0-p2   N/A
magento/module-inventory-distance-based-source-selection          1.2.1-p2   N/A
magento/module-inventory-distance-based-source-selection-admin-ui 1.2.0-p2   N/A
magento/module-inventory-distance-based-source-selection-api      1.2.0-p2   N/A
magento/module-inventory-elasticsearch                            1.2.0-p2   N/A
magento/module-inventory-export-stock                             1.2.0-p2   N/A
magento/module-inventory-export-stock-api                         1.2.0-p2   N/A
magento/module-inventory-graph-ql                                 1.2.0-p2   N/A
magento/module-inventory-grouped-product                          1.2.1-p2   N/A
magento/module-inventory-grouped-product-admin-ui                 1.2.1-p2   N/A
magento/module-inventory-grouped-product-indexer                  1.2.1-p2   N/A
magento/module-inventory-import-export                            1.2.1-p2   N/A
magento/module-inventory-in-store-pickup                          1.1.0-p2   N/A
magento/module-inventory-in-store-pickup-admin-ui                 1.1.0-p2   N/A
magento/module-inventory-in-store-pickup-api                      1.1.0-p2   N/A
magento/module-inventory-in-store-pickup-frontend                 1.1.1-p2   N/A
magento/module-inventory-in-store-pickup-graph-ql                 1.1.0-p2   N/A
magento/module-inventory-in-store-pickup-multishipping            1.1.0-p2   N/A
magento/module-inventory-in-store-pickup-quote                    1.1.0-p2   N/A
magento/module-inventory-in-store-pickup-quote-graph-ql           1.1.0-p2   N/A
magento/module-inventory-in-store-pickup-sales                    1.1.0-p2   N/A
magento/module-inventory-in-store-pickup-sales-admin-ui           1.1.1-p2   N/A
magento/module-inventory-in-store-pickup-sales-api                1.1.0-p2   N/A
magento/module-inventory-in-store-pickup-shipping                 1.1.0-p2   N/A
magento/module-inventory-in-store-pickup-shipping-admin-ui        1.1.0-p2   N/A
magento/module-inventory-in-store-pickup-shipping-api             1.1.0-p2   N/A
magento/module-inventory-in-store-pickup-webapi-extension         1.1.0-p2   N/A
magento/module-inventory-indexer                                  2.1.1-p2   N/A
magento/module-inventory-low-quantity-notification                1.2.0-p2   N/A
magento/module-inventory-low-quantity-notification-admin-ui       1.2.1-p2   N/A
magento/module-inventory-low-quantity-notification-api            1.2.0-p2   N/A
magento/module-inventory-multi-dimensional-indexer-api            1.2.0-p2   N/A
magento/module-inventory-product-alert                            1.2.1-p2   N/A
magento/module-inventory-quote-graph-ql                           1.0.0-p2   N/A
magento/module-inventory-requisition-list                         1.2.1-p2   N/A
magento/module-inventory-reservation-cli                          1.2.1-p2   N/A
magento/module-inventory-reservations                             1.2.0-p2   N/A
magento/module-inventory-reservations-api                         1.2.0-p2   N/A
magento/module-inventory-sales                                    1.2.1-p2   N/A
magento/module-inventory-sales-admin-ui                           1.2.1-p2   N/A
magento/module-inventory-sales-api                                1.2.0-p2   N/A
magento/module-inventory-sales-frontend-ui                        1.2.1-p2   N/A
magento/module-inventory-setup-fixture-generator                  1.2.0-p2   N/A
magento/module-inventory-shipping                                 1.2.1-p2   N/A
